teacher_id,student_id,ats_task,ats_eps,ats_time,cic_task,cic_eps,cic_time,vs_task,vs_eps,vs_time,Add student to class,Move student to class,Remove student from class,Copy student to class,Click admin tools,Click intro video,Click lesson plans,Click webinar,Click technical info,Click supplements,Click account management,Load performance report,Load progress report,Load activity report,Upload student spreadsheet,Convert selection text to speech,Convert dialog text to speech,Convert last text again,Export performance report,Look up glossary term,Print list of students,Load the Getting Started section,Load the Read to Lead section,Load the Support section,Print performance report,Print progress report,Print student all activity report,Print class individual activity report,Print student individual activity report,Print student writing activity report,Log into the platform,Log out of the platform,Add anonymous student to class,Load the Stats section,Load the Characters section,Load the You're Hired section,Load the OST section
9525,9567,null,null,null,null,null,null,116,2,79,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9569,1,null,0,null,null,null,233,2,116.2,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9569,1,null,0,null,null,null,233,2,116.2,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9573,null,null,null,null,null,null,128,2,113.9667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9573,null,null,null,null,null,null,128,2,113.9667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9578,null,null,null,null,null,null,65,1,39,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9578,null,null,null,null,null,null,65,1,39,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9582,null,null,null,null,null,null,108,1,87.1167,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9582,null,null,null,null,null,null,108,1,87.1167,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9586,null,null,null,null,null,null,114,1,85.7333,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9586,null,null,null,null,null,null,114,1,85.7333,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9592,null,null,null,null,null,null,165,2,57.5667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9592,null,null,null,null,null,null,165,2,57.5667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9600,null,null,null,null,null,null,152,1,72.3,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9600,null,null,null,null,null,null,152,1,72.3,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9603,null,null,null,null,null,null,104,null,45.7667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9603,null,null,null,null,null,null,104,null,45.7667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9606,null,null,null,null,null,null,179,2,98.35,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9606,null,null,null,null,null,null,179,2,98.35,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9607,null,null,null,null,null,null,135,1,83.8167,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9607,null,null,null,null,null,null,135,1,83.8167,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9610,null,null,null,null,null,null,168,2,93.7333,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9610,null,null,null,null,null,null,168,2,93.7333,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9619,null,null,null,null,null,null,75,null,29.6833,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9619,null,null,null,null,null,null,75,null,29.6833,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9650,null,null,null,null,null,null,54,null,38.35,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9650,null,null,null,null,null,null,54,null,38.35,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9255,9825,null,null,null,null,null,null,16,null,12.1167,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39821,9825,null,null,null,null,null,null,16,null,12.1167,0,0,0,0,37,0,10,0,0,0,0,6,29,12,0,0,0,0,0,0,7,0,0,0,0,1,5,4,0,0,0,3,0,0,0,0,0
9255,9831,null,null,null,null,null,null,31,null,15.5833,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39821,9831,null,null,null,null,null,null,31,null,15.5833,0,0,0,0,37,0,10,0,0,0,0,6,29,12,0,0,0,0,0,0,7,0,0,0,0,1,5,4,0,0,0,3,0,0,0,0,0
9255,9832,null,null,null,null,null,null,23,null,18.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39821,9832,null,null,null,null,null,null,23,null,18.4,0,0,0,0,37,0,10,0,0,0,0,6,29,12,0,0,0,0,0,0,7,0,0,0,0,1,5,4,0,0,0,3,0,0,0,0,0
9255,9833,null,null,null,null,null,null,75,1,50.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39821,9833,null,null,null,null,null,null,75,1,50.6,0,0,0,0,37,0,10,0,0,0,0,6,29,12,0,0,0,0,0,0,7,0,0,0,0,1,5,4,0,0,0,3,0,0,0,0,0
9255,9840,null,null,null,null,null,null,125,1,44.2333,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39821,9840,null,null,null,null,null,null,125,1,44.2333,0,0,0,0,37,0,10,0,0,0,0,6,29,12,0,0,0,0,0,0,7,0,0,0,0,1,5,4,0,0,0,3,0,0,0,0,0
13967,14809,null,null,null,null,null,null,147,2,146.7833,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13966,14809,null,null,null,null,null,null,147,2,146.7833,0,0,0,0,25,1,7,0,0,0,0,4,12,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
13967,14811,null,null,null,null,null,null,150,2,123.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13966,14811,null,null,null,null,null,null,150,2,123.4,0,0,0,0,25,1,7,0,0,0,0,4,12,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
13967,14812,null,null,null,null,null,null,227,3,137.2667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13966,14812,null,null,null,null,null,null,227,3,137.2667,0,0,0,0,25,1,7,0,0,0,0,4,12,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
13967,14815,null,null,null,null,null,null,68,null,49.0167,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13966,14815,null,null,null,null,null,null,68,null,49.0167,0,0,0,0,25,1,7,0,0,0,0,4,12,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
14927,14928,192,6,221.9333,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13987,14981,19,1,23.7333,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
14977,14982,9,1,23.2667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
14979,14983,14,1,24.1833,null,null,null,null,null,null,0,0,0,0,75,0,33,0,0,0,0,68,18,55,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
14980,14984,30,1,21.2833,null,null,null,null,null,null,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14500,15012,3,1,17.9667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9525,15017,null,null,null,null,null,0,82,1,116.2833,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36617,15017,null,null,null,null,null,0,82,1,116.2833,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9525,15017,null,null,null,null,null,0,82,1,116.2833,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15018,null,null,null,null,null,null,69,null,31.2,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36617,15018,null,null,null,null,null,null,69,null,31.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9525,15018,null,null,null,null,null,null,69,null,31.2,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15019,null,null,null,null,null,null,160,1,144.3667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36617,15019,null,null,null,null,null,null,160,1,144.3667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9525,15019,null,null,null,null,null,null,160,1,144.3667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15020,null,null,null,null,null,null,142,2,110.1,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15020,null,null,null,null,null,null,142,2,110.1,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15021,null,null,null,null,null,null,135,2,75.7,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36617,15021,null,null,null,null,null,null,135,2,75.7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9525,15021,null,null,null,null,null,null,135,2,75.7,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15022,null,null,null,null,null,null,127,3,105.6667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36617,15022,null,null,null,null,null,null,127,3,105.6667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9525,15022,null,null,null,null,null,null,127,3,105.6667,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15024,null,null,null,null,null,null,195,2,123.4833,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36617,15024,null,null,null,null,null,null,195,2,123.4833,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9525,15024,null,null,null,null,null,null,195,2,123.4833,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15025,null,null,null,null,null,null,90,2,101.3,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15025,null,null,null,null,null,null,90,2,101.3,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15026,null,null,null,null,null,null,163,2,93.8167,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15026,null,null,null,null,null,null,163,2,93.8167,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,15028,null,null,null,null,null,null,121,1,181.35,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
