user_id,play_iteration_id,episode_id,standard,instance,support_level,taskcount,task_id,task_description,why_important,time_completed
1,2,1,null,null,null,49,30,EPISODE EXIT,null,12/14/17 1:47
1,2,1,null,null,null,50,30,EPISODE EXIT,null,12/14/17 1:48
1,2,1,null,null,null,51,30,EPISODE EXIT,null,12/14/17 1:48
1,2,1,null,null,null,52,30,EPISODE EXIT,null,12/14/17 2:29
1,2,1,null,null,null,53,30,EPISODE EXIT,null,12/14/17 2:30
1,2,1,null,null,null,54,30,EPISODE EXIT,null,12/14/17 2:31
1,2,1,null,null,null,55,30,EPISODE EXIT,null,12/14/17 2:31
1,2,1,null,null,null,56,30,EPISODE EXIT,null,12/14/17 4:26
1,2,1,null,null,null,57,30,EPISODE EXIT,null,12/14/17 4:38
1,2,1,null,null,null,58,30,EPISODE EXIT,null,12/14/17 4:39
1,2,1,null,null,null,59,30,EPISODE EXIT,null,12/14/17 4:39
1,2,1,null,null,null,60,30,EPISODE EXIT,null,12/14/17 4:41
1,2,1,null,null,null,61,30,EPISODE EXIT,null,12/14/17 7:40
1,2,1,null,null,null,62,30,EPISODE EXIT,null,12/14/17 7:41
1,2,1,null,null,null,63,30,EPISODE EXIT,null,12/14/17 7:41
1,2,1,null,null,null,64,30,EPISODE EXIT,null,12/14/17 14:41
1,2,1,null,null,null,65,30,EPISODE EXIT,null,12/14/17 14:43
1,2,1,null,null,null,66,30,EPISODE EXIT,null,12/14/17 14:44
1,2,1,null,null,null,67,30,EPISODE EXIT,null,12/19/17 14:34
1,2,1,null,null,null,68,30,EPISODE EXIT,null,12/19/17 14:36
1,2,1,null,null,null,69,30,EPISODE EXIT,null,12/19/17 14:37
1,2,1,null,null,null,70,30,EPISODE EXIT,null,12/19/17 14:38
1,2,1,null,null,null,71,30,EPISODE EXIT,null,12/20/17 22:02
1,2,1,null,null,null,72,30,EPISODE EXIT,null,12/20/17 22:02
1,2,1,null,null,null,73,30,EPISODE EXIT,null,12/20/17 22:06
1,2,1,null,null,null,74,30,EPISODE EXIT,null,12/21/17 13:50
1,2,1,null,null,null,75,30,EPISODE EXIT,null,12/21/17 13:50
1,2,1,null,null,null,76,30,EPISODE EXIT,null,12/21/17 13:51
1,2,1,null,null,null,77,30,EPISODE EXIT,null,12/21/17 13:51
1,2,1,null,null,null,78,30,EPISODE EXIT,null,1/3/18 19:12
1,2,1,null,null,null,79,30,EPISODE EXIT,null,1/4/18 18:34
1,2,1,null,null,null,80,30,EPISODE EXIT,null,1/4/18 18:35
1,2,1,null,null,null,81,30,EPISODE EXIT,null,1/4/18 18:52
1,2,1,null,null,null,82,30,EPISODE EXIT,null,1/4/18 18:53
1,2,1,null,null,null,83,30,EPISODE EXIT,null,1/4/18 18:53
1,2,1,null,null,null,84,30,EPISODE EXIT,null,1/4/18 18:54
1,2,1,null,null,null,85,30,EPISODE EXIT,null,1/4/18 18:55
1,2,1,null,null,null,86,30,EPISODE EXIT,null,1/4/18 18:57
1,2,1,null,null,null,87,30,EPISODE EXIT,null,1/4/18 18:58
1,2,1,null,null,null,88,30,EPISODE EXIT,null,1/4/18 19:09
1,2,1,null,null,null,89,30,EPISODE EXIT,null,1/9/18 16:57
1,2,1,null,null,null,90,30,EPISODE EXIT,null,1/9/18 16:57
1,2,1,null,null,null,91,30,EPISODE EXIT,null,1/9/18 16:57
1,2,1,null,null,null,92,30,EPISODE EXIT,null,1/9/18 16:57
1,2,1,null,null,null,93,30,EPISODE EXIT,null,1/9/18 16:57
1,2,1,null,null,null,94,30,EPISODE EXIT,null,1/9/18 16:57
1,2,1,null,null,null,95,30,EPISODE EXIT,null,1/9/18 16:57
1,2,1,null,null,null,96,30,EPISODE EXIT,null,1/10/18 16:31
1,2,1,null,null,null,97,30,EPISODE EXIT,null,1/10/18 16:32
1,2,1,null,null,null,98,30,EPISODE EXIT,null,1/10/18 16:33
1,2,1,null,null,null,99,30,EPISODE EXIT,null,1/10/18 16:33
1,2,1,null,null,null,100,30,EPISODE EXIT,null,1/10/18 16:36
1,2,1,null,null,null,101,30,EPISODE EXIT,null,1/10/18 17:03
1,2,1,null,null,null,102,30,EPISODE EXIT,null,1/12/18 16:21
1,2,1,null,null,null,103,30,EPISODE EXIT,null,1/12/18 16:23
1,2,1,null,null,null,104,30,EPISODE EXIT,null,1/12/18 18:36
1,2,1,null,null,null,105,30,EPISODE EXIT,null,1/12/18 18:38
1,2,1,null,null,null,106,30,EPISODE EXIT,null,1/12/18 19:23
1,2,1,null,null,null,107,30,EPISODE EXIT,null,1/12/18 19:26
